amazon_order_id,asin1,asin2,asin3,asin4,asin5,asin6,asin7
702-2932170-0977856,B00KLEFHP8,B009T8KNAQ,,,,,
702-2937591-4568256,B08K45B749,B07XBJT1RP,,,,,
702-2951335-7806650,B07W8WYZNW,B07VTXQNMM,,,,,
702-2975991-0905063,B07F2NYM74,B07NYCW31V,,,,,
702-3079114-4933833,B004WQIAZU,B004WQHH6S,,,,,
702-3098023-4846646,B000MPLVVA,B0002YKBV2,,,,,
702-3144581-4965069,B08S3N9WB7,B08S2M64G9,,,,,
702-3292371-9884203,B07WDV5ZKD,B07MTTGQTK,,,,,
702-3342216-9614602,B08CK9FYLV,B07WWVJBGZ,,,,,
702-3455905-7553022,B01L90JKDM,B07GJZFXVW,,,,,
702-3461623-7222636,B0833T8KMZ,B0833TTF4H,,,,,
702-3622573-3780259,B01L7BUS20,B00NJ75D1W,,,,,
702-3702644-7948256,B07JV964DH,B08CB17QPN,,,,,
702-3750790-1752221,B07MYY6T37,B07MYPJMLZ,,,,,
702-3817233-7845005,B09P9P2VTD,B09P9Y6QCX,,,,,
702-3859791-5347466,B08L8PC6WB,B082S9XFPR,B07ZQ3TSWB,B08P4DV88C,B08PKTKQR1,B08CXR3XBS,B073S1F4ZX
702-3967304-2649811,B07NTRK746,B07T2HHCF2,,,,,
702-3970647-1069801,B07FZ2H42J,B07GXPHPWD,,,,,
702-4019686-7453815,B074R2SXBM,B017KUC6XQ,,,,,
702-4154027-5884209,B08942S65J,B08MDCBPWX,B0894MWTVD,,,,
702-4216616-2951468,B09HPPCTD5,B09HPQXMJ7,,,,,
702-4323905-5124265,B07F9QV6HX,B07HDZ8NF6,,,,,
702-4337111-0591440,B01BW60V1S,B01BW61PS6,,,,,
702-4392709-5621032,B07HFHZ3GJ,B07RHZHHGN,,,,,
702-4396076-9337032,B071FBW32Y,B07GGWR4M1,,,,,
702-4420870-0830609,B0BFFLKVY5,B0BFFF2R9R,,,,,
702-4431253-9221801,B07YLK6H56,B08ZCTCPJX,,,,,
702-4475341-0317067,B07V1X5SK4,B07V1JM71H,,,,,
702-4486509-1660231,B079S37WXN,B079RT87P9,,,,,
702-4513287-8279432,B07Z8WCZL7,B084M3X2VM,,,,,
702-4540810-3647436,B00HNS1N26,B07D5HLC32,,,,,
